TreeGroup,SpeciesName
Ash,Ash Spp. (Fraxinus Spp.)
Ash,Black Ash (Fraxinus Nigra)
Ash,Blue Ash (Fraxinus Quadrangulata)
Ash,Carolina Ash (Fraxinus Caroliniana)
Ash,Green Ash (Fraxinus Pennsylvanica)
Ash,Pumpkin Ash (Fraxinus Profunda)
Ash,Texas Ash (Fraxinus Texensis)
Ash,White Ash (Fraxinus Americana)
Basswood,American Basswood (Tilia Americana)
Basswood,Basswood Spp. (Tilia Spp.)
Basswood,Carolina Basswood (Tilia Americana Var. Caroliniana)
Basswood,White Basswood (Tilia Americana Var. Heterophylla)
Beech,American Beech (Fagus Grandifolia)
Black Walnut,Black Walnut (Juglans Nigra)
Cottonwood And Aspen,Balsam Poplar (Populus Balsamifera)
Cottonwood And Aspen,Bigtooth Aspen (Populus Grandidentata)
Cottonwood And Aspen,Black Cottonwood (Populus Balsamifera Ssp. Trichocarpa)
Cottonwood And Aspen,Cottonwood And Poplar Spp. (Populus Spp.)
Cottonwood And Aspen,Eastern Cottonwood (Populus Deltoides)
Cottonwood And Aspen,Fremont Cottonwood (Populus Fremontii)
Cottonwood And Aspen,Lombardy Poplar (Populus Nigra)
Cottonwood And Aspen,Narrowleaf Cottonwood (Populus Angustifolia)
Cottonwood And Aspen,Plains Cottonwood (Populus Deltoides Ssp. Monilifera)
Cottonwood And Aspen,Quaking Aspen (Populus Tremuloides)
Cottonwood And Aspen,Silver Poplar (Populus Alba)
Cottonwood And Aspen,Swamp Cottonwood (Populus Heterophylla)
Cypress,Baldcypress (Taxodium Distichum)
Cypress,Pondcypress (Taxodium Ascendens)
Douglas-fir,Bigcone Douglas-fir (Pseudotsuga Macrocarpa)
Douglas-fir,Douglas-fir (Pseudotsuga Menziesii)
Eastern Hemlock,Carolina Hemlock (Tsuga Caroliniana)
Eastern Hemlock,Eastern Hemlock (Tsuga Canadensis)
Eastern Hemlock,Hemlock Spp. (Tsuga Spp.)
